DNS	﻿A.D.N.
UdSSR	U.R.S.S.
Vereinigte Staaten	U.S.A.
Vereinigten Staaten	U.S.A.
Schein	U.V.
CPU	UCT
Zentraleinheit	UCT
Ukraine	Ukraine
Odysseus	Ulysse
UNESCO	Unesco
UNICEF	Unicef
Westeuropäische Union	Union de l'Europe occidentale
UDSSR	Union des républiques socialistes soviétiques
Europäischer Fußballverband	Union européenne de football association
Weltpostverein	Union postale universelle
Sowjetunion	Union soviétique
Uranus	Uranus
Uruguay	Uruguay
Qualitätswein aus bestimmten Anbaugebieten	V.D.Q.S.
Originalfassung	V.O.
Geschäftsreisender	V.R.P.
Geschäftsreisender und Platzvertreter	V.R.P.
Geschäftsreisender, Handelsvertreter und Platzvertreter	V.R.P.
Handelsvertreter	V.R.P.
Handelsvertreter und Platzvertreter	V.R.P.
Mountainbike	V.T.T.
Valencia	Valence
Warschau	Varsovie
Vatikan	Vatican
Vendée	Vendée
Venezuela	Venezuela
Venedig	Venise
Vercingetorix	Vercingétorix
Versailles	Versailles
Wassermann	Verseau
Siegesgöttin	Victoire
Wien	Vienne
Vientiane	Vientiane
Madonna	Vierge
Marienbild	Vierge
Vilnius	Vilnius
Heimsuchung Mariä	Visitation
Weichsel	Vistule
Wisla	Vistule
Vietnam	Viêt-Nam
Wladimir	Vladimir
Wladiwostok	Vladivostok
Wolga	Volga
Wolgograd	Volgograd
Vogesen	Vosges
Venus	Vénus
Veronika	Véronique
Klosett	W.C.
Null-Null	W.C.
Toilette	W.C.
WC	W.C.
Wasserklosett	W.C.
Walhalla	Walhalla
Walkman	Walkman
Wall Street	Wall Street
Wallstreet	Wall Street
Washington	Washington
Waterloo	Waterloo
Wehrmacht	Wehrmacht
Wellington	Wellington
Westfalen	Westphalie
Windhuk	Windhoek
Württemberg	Wurtemberg
Xaver	Xavier
Yorkshirepudding	Yorkshire pudding
Sambia	Zambie
Zaire	Zaïre
Simbabwe	Zimbabwe
Zarathustra	Zoroastre
Zürich	Zurich
abklappbar	a bascule
erst recht	a fortiori
um so eher	a fortiori
um so mehr	a fortiori
ziemlich	a peu près
a posteriori	a posteriori
aus Erfahrung	a posteriori
im nachhinein	a posteriori
nachträglich	a posteriori
a priori	a priori
auf den ersten Blick	a priori
grundsätzlich	a priori
von vornherein	a priori
Apriori	a priori
Hypothese	a priori
Vorurteil	a priori
unbewiesene Annahme	a priori
für das Protokoll	a titre officiel
Manilafaser	abaca
Manilahanf	abaca
entwürdigend	abaissant
erniedrigend	abaissant
Boden	abaisse
Kuchenboden	abaisse
Teig	abaisse
ausgerollter Teig	abaisse
Zungenspatel	abaisse-langue
Abnahme	abaissement
Absenken	abaissement
Absinken	abaissement
Demütigung	abaissement
Erniedrigung	abaissement
Herabsetzung	abaissement
Senken	abaissement
Senkung	abaissement
Sinken	abaissement
Verminderung	abaissement
sinken	abaissement
Temperaturrückgang	abaissement de la température
Temperaturrückgang	abaissement de température
Senkung der Steuern	abaissement des impôts
Senkung des Lebensstandards	abaissement du niveau de vie
abfallen	abaisser
abmindern	abaisser
absenken	abaisser
ausrollen	abaisser
demütigen	abaisser
ducken	abaisser
dünner ausrollen	abaisser
erniedrigen	abaisser
fällen	abaisser
herabsetzen	abaisser
herunterdrücken	abaisser
herunterholen	abaisser
herunterziehen	abaisser
nach unten stellen	abaisser
schmälern	abaisser
senken	abaisser
Backentasche	abajoue
Abkehr	abandon
Aufgabe	abandon
Evakuieren	abandon
Gelöstheit	abandon
Ungezwungenheit	abandon
Untreue	abandon
Verlassen	abandon
Verlassenheit	abandon
Verwahrlosung	abandon
Verwilderung	abandon
Verzicht	abandon
Verödung	abandon
lässige Anmut	abandon
abfallen	abandonner
abkehren	abandonner
ablegen	abandonner
aufgeben	abandonner
aussetzen	abandonner
die Treue brechen	abandonner
einstellen	abandonner
fahrenlassen	abandonner
im Stich lassen	abandonner
sausenlassen	abandonner
untreu sein	abandonner
verjagen	abandonner
verlassen	abandonner
verraten	abandonner
verstoßen	abandonner
verzichten	abandonner
verzichten auf	abandonner
überlassen	abandonner
überlaufen	abandonner
abbrechen	abandonner ses études
gelöst	abandonné
herrenlos	abandonné
unbewohnt	abandonné
ungezwungen	abandonné
verlassen	abandonné
verwahrlost	abandonné
verwaist	abandonné
verödet	abandonné
benommen	abasourdi
betäubt	abasourdi
erstaunt	abasourdi
perplex	abasourdi
sprachlos	abasourdi
verblüfft	abasourdi
verdattert	abasourdi
verdutzt	abasourdi
verwirrt	abasourdi
verwundert	abasourdi
wie vom Blitz getroffen	abasourdi
überrascht	abasourdi
betäuben	abasourdir
durcheinanderbringen	abasourdir
erstaunen	abasourdir
sprachlos machen	abasourdir
verblüffen	abasourdir
verdutzen	abasourdir
verwirren	abasourdir
überraschen	abasourdir
verwirrend	abasourdissant
Lampenschirm	abat-jour
Schirm	abat-jour
Fensterladen	abat-vent
Windschutz	abat-vent
Geflügelklein	abats
Gänseklein	abats
Innereien	abats
Kopf und Füße	abats
Schlachtabfälle	abats
Geflügelklein	abats de poule
Geflügelklein	abats de poulet
Geflügelklein	abats de volaille
Geflügelklein	abats de volailles
abbaufähig	abattable
Fällen	abattage
Holzfällen	abattage
Holzhauen	abattage
Schlachten	abattage
Schlachtung	abattage
Schwung	abattage
Vertilgung	abattage
Geflügelschlachthof	abattage de volaille
Deckel	abattant
Klappdeckel	abattant
herunterklappbare Platte	abattant
herunterklappbare Schreibplatte	abattant
Abschlag	abattement
Bedrücktheit	abattement
Bedrückung	abattement
Depression	abattement
Ermäßigung	abattement
Gedrücktheit	abattement
Kraftlosigkeit	abattement
Mattigkeit	abattement
Nachlaß	abattement
Niedergeschlagenheit	abattement
Schwermut	abattement
Schwäche	abattement
Schwüle	abattement
Trübsinn	abattement
Verzagtheit	abattement
Verzweiflung	abattement
Steuernachlaß	abattement fiscal
Steuerfreibetrag	abattement à la base
Hühnerklein	abattis
Extremitäten	abattis
Geschling	abattis
Geschlinge	abattis
Gliedmaßen	abattis
Gänse Klein	abattis
Gänseklein	abattis
Hühner Klein	abattis
Hühnerklein	abattis
Klein	abattis
Knochen	abattis
Hühnerklein	abattis d'oie
Gänseklein	abattis d'oie
Schlachthaus	abattoir
Schlachthof	abattoir
abbauen	abattre
abhauen	abattre
abholzen	abattre
abknallen	abattre
abschießen	abattre
abschlachten	abattre
bedrücken	abattre
demolieren	abattre
deprimieren	abattre
entmutigen	abattre
erlegen	abattre
erschießen	abattre
fällen	abattre
niederreißen	abattre
schießen	abattre
schlachten	abattre
schwächen	abattre
senken	abattre
töten	abattre
umhauen	abattre
umstürzen	abattre
umwehen	abattre
zerschmettern	abattre
zerstören	abattre
zur Strecke bringen	abattre
totschießen	abattre d'un coup de feu
einzeln abschießen	abattre un à un
umhauen	abattre à coups de hache
umhauen	abattre à la hache
abgezehrt	abattu
bedrückt	abattu
depressiv	abattu
deprimiert	abattu
düster	abattu
entmutigt	abattu
gedrückt	abattu
geschwächt	abattu
kraftlos	abattu
matt	abattu
niedergedrückt	abattu
niedergeschlagen	abattu
pessimistisch	abattu
verzagt	abattu
verzweifelt	abattu
von Sorgen gezeichnet	abattu
Abtei	abbatial
Abtei-	abbatial
Abts	abbatial
Abts-	abbatial
Abtei	abbaye
Äbtissin	abbesse
Abbé	abbé
Abt	abbé
Geistlicher	abbé
Pfarrer	abbé
Abc	abc
Abc-Buch	abc
Anfangsgründe	abc
Einmaleins	abc
Fibel	abc
Abszeß	abcès
Eiterbeule	abcès
Schwäre	abcès
Vereiterung	abcès
Zahnfleischgeschwür	abcès à la gencive
Abdankung	abdication
Thronentsagung	abdication
Verzicht	abdication
abdanken	abdiquer
aufgeben	abdiquer
kapitulieren	abdiquer
verzichten	abdiquer
verzichten auf	abdiquer
Abdomen	abdomen
Bauch	abdomen
Unterleib	abdomen
Bauch	abdominal
Bauch-	abdominal
Unterleibs	abdominal
Unterleibs-	abdominal
abdominal	abdominal
Bauchmuskeln	abdominaux
Biene	abeille
Imme	abeille
Drohne	abeille mâle
Weisel	abeille mère
Weisel	abeille reine
kleiner Fjord	aber
aberwitzig	aberrant
abnorm	aberrant
absurd	aberrant
abwegig	aberrant
irrig	aberrant
irrsinnig	aberrant
ungewöhnlich	aberrant
Aberration	aberration
Absurdität	aberration
Abweichung	aberration
Anomalie	aberration
Geistesverwirrung	aberration
Verirrung	aberration
Geschmacksverirrung	aberration du goût
verabscheuen	abhorrer
verhaßt	abhorré
elend	abject
erbärmlich	abject
gemein	abject
niederträchtig	abject
schuftig	abject
schändlich	abject
verächtlich	abject
Gemeinheit	abjection
Verworfenheit	abjection
tiefste Erniedrigung	abjection
Abschwörung	abjuration
Entsagung	abjuration
Verzicht	abjuration
abschwören	abjurer
entsagen	abjurer
verzichten	abjurer
abchasisch	abkhaze
Ablativ	ablatif
Ablation	ablation
Abtragung	ablation
Entfernung	ablation
operative Entfernung	ablation
Mandeloperation	ablation des amygdales
Tonsillektomie	ablation des amygdales
Weißfisch	ablette
Ablution	ablution
Waschung	ablution
rituelle Waschung	ablution
Opferbereitgeist	abnégation
Opferbereitschaft	abnégation
Selbstaufopferung	abnégation
Selbstlosigkeit	abnégation
Selbstverleugnung	abnégation
Verleugnung	abnégation
Belfern	aboiement
Bellen	aboiement
Gebell	aboiement
Belfern	aboiements
Bellen	aboiements
Gebell	aboiements
Geschrei	aboiements
Gezeter	aboiements
abschaffen	abolir
aufheben	abolir
Abschaffung	abolition
Aufhebung	abolition
Tilgung	abolition
Abolitionismus	abolitionnisme
Abolitionist	abolitionniste
abscheulich	abominable
bohrend	abominable
ekelhaft	abominable
erschütternd	abominable
fürchterlich	abominable
geschmacklos	abominable
greulich	abominable
schandbar	abominable
schauerlich	abominable
schaurig	abominable
scheußlich	abominable
schrecklich	abominable
schändlich	abominable
umwälzend	abominable
unheilvoll	abominable
verabscheuenswert	abominable
verabscheuenswürdig	abominable
verhängnisvoll	abominable
widerlich	abominable
Abscheu	abomination
Abscheulichkeit	abomination
Ekel	abomination
Garstigkeit	abomination
Greuel	abomination
Scheußlichkeit	abomination
Schrecklichkeit	abomination
Schändlichkeit	abomination
verabscheuen	abominer
ausgiebig	abondamment
reichlich	abondamment
völlig	abondamment
überreichlich	abondamment
dichtbehaart	abondamment poilu
Fülle	abondance
Segen	abondance
Vermögen	abondance
Wohlstand	abondance
Überfluß	abondance
Flor	abondance de fleurs
Saftigkeit	abondance de jus
Wortschwall	abondance de parole
Wortschwall	abondance de paroles
Saftigkeit	abondance de sève
ausgiebig	abondant
reich	abondant
reichlich	abondant
üppig	abondant
im Überfluß vorhanden sein	abonder
reichlich sein	abonder
wimmeln von	abonder
an tewas Überfluß haben	abonder en quelque chose
tewas im Überfluß besitzen	abonder en quelque chose
Abonnement	abonnement
Bezug	abonnement
Dauerkarte	abonnement
Miete	abonnement
Subskriptionspreis	abonnement
Vorausbezahlung	abonnement
Zeitkarte	abonnement
laufender Bezug	abonnement
laufender, fester Bezug	abonnement
abonnieren	abonner
Abnehmer	abonné
Abonnent	abonné
Bezieher	abonné
Fernsprechteilnehmer	abonné
Stromabnehmer	abonné
Teilnehmer	abonné
Zeitkarteninhaber	abonné
Telefonbenutzer	abonné au téléphone
Telefonteilnehmer	abonné au téléphone
Fernsprechteilnehmer	abonné de téléphone
Fernsprechteilnehmer	abonné à téléphone
Abnehmerin	abonnée
Abonnentin	abonnée
Bezieherin	abonnée
Zeitkarteninhaberin	abonnée
Zugang	abord
erreichbar	abordable
erschwinglich	abordable
verfügbar	abordable
zugänglich	abordable
Entern	abordage
Enternung	abordage
Kollision	abordage
Schiffszusammenstoß	abordage
Zusammenstoß	abordage
anfliegen	aborder
angehen	aborder
anlegen	aborder
anschneiden	aborder
ansprechen	aborder
aufgreifen	aborder
berühren	aborder
bestürmen	aborder
entern	aborder
erschwingen	aborder
erwähnen	aborder
heranfahren an	aborder
herangehen	aborder
herankommen an	aborder
kollidieren	aborder
landen	aborder
rammen	aborder
zu sprechen kommen auf	aborder
zur Sprache bringen	aborder
zusammenstoßen	aborder
Umgebung	abords
eingeboren	aborigène
einheimisch	aborigène
Eingeborene	aborigène
Eingeborener	aborigène
Einheimische	aborigène
Ureinwohner	aborigène
Ureinwohnerin	aborigène
Eingeborene	aborigènes
Eingeborenen	aborigènes
Urbewohner	aborigènes
Ureinwohner	aborigènes
Abtreibungs	abortif
Abtreibungs-	abortif
abortiv	abortif
abtreibend	abortif
Abtreibungsmittel	abortif
rausrücken	abouler
Abulie	aboulie
Willenlosigkeit	aboulie
krankhafte Willenlosigkeit	aboulie
entschlußlos	aboulique
krankhaft willenlos	aboulique
willenlos	aboulique
Erfolg haben	aboutir
einmünden	aboutir
enden	aboutir
führen	aboutir
führen zu	aboutir
gelangen	aboutir
gelingen	aboutir
einmünden	aboutir à
enden in	aboutir à
führen zu	aboutir à
gelangen zu	aboutir à
kommen	aboutir à
kommen zu	aboutir à
münden in	aboutir à
zu einem Ergebnis führen	aboutir à
zu einem Ergebnis gelangen	aboutir à
zu einem Ergebnis kommen	aboutir à
zu tewasas führen	aboutir à
festfahren	aboutir à une impasse
festrennen	aboutir à une impasse
Erfolg	aboutissement
Ergebnis	aboutissement
anschlagen	aboyer
belfern	aboyer
bellen	aboyer
blaffen	aboyer
schnauzen	aboyer
schreien	aboyer
zetern	aboyer
Abrakadabra	abracadabra
grotesk	abracadabrant
unwahrscheinlich	abracadabrant
wunderlich	abracadabrant
abreiben	abraser
abschaben	abraser
schleifen	abraser
Schleif	abrasif
Schleif-	abrasif
abschleifend	abrasif
scheuernd	abrasif
Scheuermittel	abrasif
Schleifmittel	abrasif
Abrasion	abrasion
Abreibung	abrasion
Abrieb	abrasion
Abschleifen	abrasion
Wasserstelle	abreuvage
Wasser geben	abreuver
durchtränken	abreuver
tränken	abreuver
Tränke	abreuvoir
Viehtränke	abreuvoir
Wasserstelle	abreuvoir
Arche	abri
Behausung	abri
Dach	abri
Deckung	abri
Obdach	abri
Schirm	abri
Schlupfloch	abri
Schuppen	abri
Schutz	abri
Schutzdach	abri
Schutzhütte	abri
Schutzraum	abri
Stall	abri
Standquartier	abri
Unterkommen	abri
Unterkunft	abri
Unterschlupf	abri
Unterstand	abri
Wartehäuschen	abri
Wetterschutz	abri
Zuflucht	abri
Zufluchtsort	abri
Wetterhäuschen	abri anglais
Wetterhütte	abri anglais
Bunker	abri antiaérien
Luftschutzbunker	abri antiaérien
Luftschutzkeller	abri antiaérien
Luftschutzraum	abri antiaérien
Bunker	abri bétonné
Wetterschutz	abri des intempéries
Wetterhäuschen	abri météorologique
Wetterhütte	abri météorologique
Wartehäuschen	abribus
aprikosenfarbig	abricot
Aprikose	abricot
Marille	abricot
Aprikose	abricotier
Aprikosenbaum	abricotier
Schutz bieten	abriter
Schutz suchen	abriter
Zuflucht suchen	abriter
abschirmen	abriter
aufnehmen	abriter
beherbergen	abriter
bergen	abriter
beschirmen	abriter
schützen	abriter
unterstellen	abriter
abschirmen gegen	abriter de
schützen gegen	abriter de
bedeckt	abrité
geschützt	abrité
Strohmatte	abrivent
Wetterdach	abrivent
Abschaffung	abrogation
Aufhebung	abrogation
Außerkraftsetzung	abrogation
abschaffen	abroger
aufheben	abroger
außer Kraft setzen	abroger
für ungültig erklären	abroger
abschüssig	abrupt
direkt	abrupt
jäh abfallend	abrupt
schonungslos	abrupt
schroff	abrupt
steil	abrupt
unvermittelt	abrupt
Steilwand	abrupt
abgestumpft	abruti
benommen	abruti
blöd	abruti
doof	abruti
stumpfsinnig	abruti
stumpfsinnig abgestumpft	abruti
stumpfsinnig geworden	abruti
stumpfsinnig verblödet	abruti
Blödmann	abruti
Depp	abruti
Dummkopf	abruti
Dussel	abruti
Einfaltspinsel	abruti
Esel	abruti
Schussel	abruti
Schwachkopf	abruti
Simpel	abruti
Spinner	abruti
Stümper	abruti
Tolpatsch	abruti
Tor	abruti
Trampel	abruti
Tölpel	abruti
blöde Kuh	abruti
blöde Ziege	abruti
blöder Kerl	abruti
benommen	abruti par les coups
Doofie	abrutie
Dummkopf	abrutie
Esel	abrutie
blöde Kuh	abrutie
blöde Ziege	abrutie
abstumpfen	abrutir
benommen machen	abrutir
stumpfsinnig machen	abrutir
verdummen	abrutir
geisttötend	abrutissant
Stumpfheit	abrutissement
Stumpfsinn	abrutissement
Verblödung	abrutissement
Verdummung	abrutissement
Verrohung	abrutissement
Kürzung	abrègement
Verkürzung	abrègement
Abkürzung	abrégement
abkürzen	abréger
kürzen	abréger
verkürzen	abréger
abgekürzt	abrégé
bündig	abrégé
gekürzt	abrégé
summarisch	abrégé
verkürzt	abrégé
Abhandlung	abrégé
Abriß	abrégé
Kompendium	abrégé
Kurzfassung	abrégé
kurzer Abriß	abrégé
Abkürzungs	abréviatif
Abkürzungs-	abréviatif
Abkürzung	abréviation
Verkürzung	abréviation
Abszisse	abscisse
dunkel	abscons
schwerverständlich	abscons
Abwesenheit	absence
Ausbleiben	absence
Blackout	absence
Fehlen	absence
Fernbleiben	absence
Geistesabwesenheit	absence
Mangel	absence
Nichterscheinen	absence
Zerstreutheit	absence
Schmucklosigkeit	absence d'ornement
Schmucklosigkeit	absence d'ornements
Bedürfnislosigkeit	absence de besoins
Schmucklosigkeit	absence de bijoux
Geräuschlosigkeit	absence de bruit
Geräuschlosigkeit	absence de bruits
Formlosigkeit	absence de cérémonie
Gefahrlosigkeit	absence de danger
Formlosigkeit	absence de formalité
Formlosigkeit	absence de formalités
Gestaltlosigkeit	absence de forme
Formlosigkeit	absence de formes
Geschmacklosigkeit	absence de goût
Genügsamkeit	absence de gros besoins
Unfreiheit	absence de liberté
Gesetzlosigkeit	absence de lois
Maßlosigkeit	absence de modération
Amnesie	absence de mémoire
Gedächtnisschwund	absence de mémoire
Gedächtnisstörung	absence de mémoire
Vergeßlichkeit	absence de mémoire
Freudelosigkeit	absence de plaisirs
Freudlosigkeit	absence de plaisirs
Schwerelosigkeit	absence de poids
Gedankenarmut	absence de principes
Gedankenleere	absence de principes
Gefahrlosigkeit	absence de risque
Skrupellosigkeit	absence de scrupules
Gehaltlosigkeit	absence de valeur
Gedächtnisschwund	absences de mémoire
Gedächtnisstörung	absences de mémoire
fort	absent
abwesend	absent
entgeistert	absent
fehlend	absent
geistesabwesend	absent
unachtsam	absent
unaufmerksam	absent
zerstreut	absent
Abwesende	absent
Abwesender	absent
Abwesende	absente
Fehlzeiten	absentéisme
Fernbleiben	absentéisme
Fernbleiben von der Arbeit	absentéisme
Krankfeiern	absentéisme
häufiges Fernbleiben von der Arbeit	absentéisme
Schulschwänzen	absentéisme scolaire
Abwesende	absentéiste
j, der  der Arbeit fernbleibt	absentéiste
j, der häufig der Arbeit fernbleibt	absentéiste
Apsis	abside
Absinth	absinthe
Wermut	absinthe
absolut	absolu
durch und durch	absolu
ganz	absolu
gänzlich	absolu
perfekt	absolu
total	absolu
unbedingt	absolu
uneingeschränkt	absolu
unumschränkt	absolu
vollkommen	absolu
vollständig	absolu
völlig	absolu
Absolute	absolu
aber sicher	absolument
absolut	absolument
bestimmt	absolument
durchaus	absolument
ganz gewiß	absolument
ganz und gar	absolument
genau	absolument
perfekt	absolument
schlechterdings	absolument
schlechthin	absolument
schlechtweg	absolument
selbstverständlich	absolument
sicher	absolument
unbedingt	absolument
uneingeschränkt	absolument
völlig	absolument
sicherlich	absolument
unabdingbar	absolument nécessaire
gar nicht	absolument pas
überhaupt nicht	absolument pas
durchaus nicht	absolument pas
gar nichts	absolument rien
überhaupt nichts	absolument rien
Absolution	absolution
Freisprechung	absolution
Lossprechung	absolution
Absolutismus	absolutisme
unbeschränkte Herrschaft	absolutisme
absolutistisch	absolutiste
absorbierend	absorbant
aufsaugend	absorbant
beanspruchend	absorbant
faszinierend	absorbant
in Anspruch nehmend	absorbant
schallschluckend	absorbant
schallschluckend	absorbant le son
absorbieren	absorber
aufnehmen	absorber
aufsaugen	absorber
aufzehren	absorber
einnehmen	absorber
einsaugen	absorber
fesseln	absorber
schlucken	absorber
verschlingen	absorber
verschlucken	absorber
zu sich nehmen	absorber
versenkt	absorbé
versunken	absorbé
vertieft	absorbé
Absorption	absorption
Aufgehen	absorption
Aufnahme	absorption
Aufsaugung	absorption
Einnahme	absorption
Wärmeaufnahme	absorption de chaleur
Vertrustung	absorption par un trust
Wärmeaufnahme	absorption thermale
Wärmeaufnahme	absorption thermique
Absolution erteilen	absoudre
absolvieren	absoudre
lossprechen	absoudre
vergeben	absoudre
verzichten	abstenir
Enthaltung	abstention
Stimmenthaltung	abstention
Untätigkeit	abstention
Stimmenthaltung	abstentionnisme
Wahlmüdigkeit	abstentionnisme
Nichtwähler	abstentionniste
Nichtwählerin	abstentionniste
Abstinenz	abstinence
Enthaltsamkeit	abstinence
Entzug	abstinence
Abstrakta	abstraction
Abstraktion	abstraction
Abstraktum	abstraction
abstrakter Begriff	abstraction
leere Abstraktion	abstraction
wirklichkeitsfremde Vorstellung	abstraction
abgesehen von	abstraction faite de
abstrahieren	abstraire
abstrakt	abstrait
begrifflich	abstrait
begriffsmäßig	abstrait
gedanklich	abstrait
gegenstandslos	abstrait
rein begrifflich	abstrait
schwerverständlich	abstrait
unanschaulich	abstrait
verworren	abstrait
Abstrakte	abstrait
Abstrakter	abstrait
abstrakter Maler	abstrait
schwerverständlich	abstrus
verworren	abstrus
aberwitzig	absurde
absurd	absurde
dumm	absurde
sinnlos	absurde
sinnwidrig	absurde
ungereimt	absurde
unsinnig	absurde
wahnwitzig	absurde
widersinnig	absurde
Absurde	absurde
Absurdität	absurdité
Dummheit	absurdité
Sinnlosigkeit	absurdité
Sinnwidrigkeit	absurdité
Unding	absurdité
Ungereimtheit	absurdité
Unsinn	absurdité
Unsinnigkeit	absurdité
Unvernunft	absurdité
Widersinn	absurdité
Widersinnigkeit	absurdité
Blabla	absurdités
Unsinn	absurdités
ungereimtes Zeug	absurdités
Mißbrauch	abus
Mißstand	abus
Übelstand	abus
Überschreitung	abus
Vertrauensbruch	abus de confiance
Vertrauensmißbrauch	abus de confiance
Veruntreuung	abus de confiance
Drogenmißbrauch	abus de drogues
Steuerbetrug	abus fiscal
hintergehen	abuser
mißbrauchen	abuser
schlecht behandeln	abuser
trügen	abuser
täuschen	abuser
vergewaltigen	abuser
schlecht behandeln	abuser de
Abgrund	abysse
Tiefseegraben	abysse
Untiefe	abysse
Tiefsee	abysses
bastardieren	abâtardir
entstellen	abâtardir
verderben	abâtardir
Abc-Buch	abécédaire
Fibel	abécédaire
abstumpfen	abêtir
verdummen	abêtir
geisttötend	abêtissant
Stumpfsinn	abêtissement
Stupidität	abêtissement
Verblödung	abêtissement
Verdummung	abêtissement
Abgrund	abîme
Schlund	abîme
Tiefe	abîme
Untiefe	abîme
grundlose Tiefe	abîme
abgreifen	abîmer
angreifen	abîmer
beschädigen	abîmer
kaputtmachen	abîmer
ramponieren	abîmer
ruinieren	abîmer
schaden	abîmer
schädigen	abîmer
strapazieren	abîmer
verderben	abîmer
verunstalten	abîmer
abgegriffen	abîmé
abgreifen	abîmé
beschädigt	abîmé
kaputt	abîmé
schadhaft	abîmé
stark beschädigt	abîmé
verdorben	abîmé
Akazie	acacia
Bewohner von Akadien	acadien
Akademiemitglied	académicien
Akademiker	académicien
Akademiemitglied	académicienne
Akademikerin	académicienne
Akademie	académie
Aktskizze	académie
Aktstudie	académie
Hochschule	académie
Schulaufsichtsbezirk	académie
Schule	académie
Unterrichtsbezirk	académie
gelehrte Gesellschaft	académie
Bergakademie	académie des mines
Akademie	académique
Akademie-	académique
akademisch	académique
erstarrt	académique
schulmäßig	académique
steif	académique
unoriginell	académique
überlieferungstreu	académique
Akademismus	académisme
Erstarrung in Regeln	académisme
mahagonibraun	acajou
rotbraun	acajou
Mahagoni	acajou
Mahagonibaum	acajou
Mahagoniholz	acajou
Akanthus	acanthe
Bärenklau	acanthe
Milben	acariens
bissig	acariâtre
brummig	acariâtre
