EFTA	﻿A.E.L.E.
terminado	achevé
trompicar	achopper
tropezar	achopper
consumación	achèvement
cumplimiento	achèvement
terminación	achèvement
acedo	acide
agraceño	acide
agriado	acide
agrio	acide
ácido	acide
ácido	acide
aminoácido	acide aminé
acidez	acidité
acritud	acidité
agriura	acidité
agror	acidité
agrura	acidité
acidulado	acidulé
acídulo	acidulé
ácido	acidulé
acero	acier
chapa fina de acero	acier en feuille
acería	aciérie
apogeo	acmé
auge	acmé
cenit	acmé
colmo	acmé
momento culminante	acmé
momento cumbre	acmé
punto álgido	acmé
ápice	acmé
acné	acné
acné	acné juvénile
acólito	acolyte
compinche	acolyte
cómplice	acolyte
secuaz	acolyte
anticipo	acompte
enganche	acompte
señal	acompte
acústico	acoustique
acústica	acoustique
anuencia	acquiescement
aquiescencia	acquiescement
asenso	acquiescement
asentimiento	acquiescement
beneplácito	acquiescement
consentimiento	acquiescement
permiso	acquiescement
asentir	acquiescer
acceder a	acquiescer à
aprobar	acquiescer à
asentir a	acquiescer à
coincidir con	acquiescer à
consentir en	acquiescer à
estar de acuerdo acerca de	acquiescer à
estar de acuerdo con	acquiescer à
adicto	acquis
adquirido	acquis
afecto	acquis
devoto	acquis
conocimientos	acquis
experiencia	acquis
adquisitivo	acquisitif
adquisición	acquisition
compra	acquisition
obtención	acquisition
comprobante de pago	acquit
recibo	acquit
absolución	acquittement
arreglo	acquittement
descargo	acquittement
pago	acquittement
saldo	acquittement
abonar	acquitter
absolver	acquitter
ajustar	acquitter
arreglar	acquitter
exculpar	acquitter
liquidar	acquitter
pagar	acquitter
saldar	acquitter
satisfacer	acquitter
solventar	acquitter
adquirente	acquéreur
adquiriente	acquéreur
adquisidor	acquéreur
comprador	acquéreur
compradora	acquéreur
adquisidora	acquéreuse
adquirir	acquérir
cobrar	acquérir
ganar	acquérir
granjear	acquérir
granjearse	acquérir
obtener	acquérir
procurarse	acquérir
adquirir experiencia	acquérir de l'expérience
ganar experiencia	acquérir de l'expérience
afincar	acquérir une propriété
acrimonia	acrimonie
acritud	acrimonie
duro	acrimonieux
mordaz	acrimonieux
áspero	acrimonieux
acróbata	acrobate
titiritera	acrobate
titiritero	acrobate
volatinera	acrobate
volatinero	acrobate
acrobacia	acrobatie
acrobatismo	acrobatie
volatín	acrobatie
acrobático	acrobatique
acrónimo	acronyme
acrópolis	acropole
acrílico	acrylique
acrílico	acrylique
acción	acte
acta	acte
acto	acte
certificado	acte
escritura	acte
fe	acte
instrumento	acte
partida	acte
rasgo	acte
arbitrariedad	acte arbitraire
gamberrada	acte de vandalisme
acto heroico	acte héroïque
hazaña	acte héroïque
proeza	acte héroïque
movimiento reflejo	acte réflexe
actor	acteur
protagonista	acteur principal
activo	actif
enérgico	actif
industrioso	actif
movido	actif
oficioso	actif
activo	actif
acción	action
acto	action
actuación	action
influencia	action
influjo	action
jugada	action
pisotón	action de marcher sur le pied
demanda	action en justice
accionista	actionnaire
accionar	actionner
activar	actionner
poner en accion	actionner
poner en marcha	actionner
proceder	actionner
proceder contra	actionner
procesar	actionner
activamente	activement
enérgicamente	activement
industriosamente	activement
acelerar	activer
activar	activer
aligerar	activer
animar	activer
apresurar	activer
apresurarse	activer
atizar	activer
avivar	activer
activismo	activisme
activista	activiste
activista	activiste
actividad	activité
animación	activité
aplicación	activité
diligencia	activité
laboriosidad	activité
ocupación	activité
quehacer	activité
viveza	activité
actriz	actrice
protagonista	actrice principale
actuaria	actuaire
actuario	actuaire
actualización	actualisation
ejecución	actualisation
logro	actualisation
realización	actualisation
actualizar	actualiser
actualizarse	actualiser
actualidad	actualité
magazine	actualités télévisées
actual	actuel
de actualidad	actuel
existente	actuel
presente	actuel
actualmente	actuellement
ahora	actuellement
de momento	actuellement
en la actualidad	actuellement
hoy	actuellement
hoy día	actuellement
hoy en día	actuellement
hoy por hoy	actuellement
agudeza	acuité
cualidad de afilado	acuité
cualidad de puntiagudo	acuité
gravedad	acuité
intensidad	acuité
acupuntura	acuponcture
acupuntor	acupuncteur
acupuntora	acupunctrice
acupuntura	acupuncture
acéfalo	acéphale
acerar	acérer
acerado	acéré
afilado	acéré
agudo	acéré
buido	acéré
cortante	acéré
incisivo	acéré
mordaz	acéré
puntiagudo	acéré
punzante	acéré
acetato	acétate
acetona	acétone
adagio	adage
proverbio	adage
refrán	adage
adagio	adagio
adaptable	adaptable
adaptador	adaptateur
adaptador	adaptateur
acomodación	adaptation
adaptación	adaptation
adecuación	adaptation
asimilación	adaptation
adaptadora	adaptatrice
acomodar	adapter
acoplar	adapter
adaptar	adapter
adaptarse	adapter
adecuar	adapter
ajustar	adapter
amoldar	adapter
dramatizar	adapter
hacer adecuado	adapter
hacer conveniente	adapter
conforme	adapté
aditivo	additif
aditivo	additif
apéndice	additif
cláusula	additif
adición	addition
aditamento	addition
aditivo	addition
adjunción	addition
anexo	addition
añadido	addition
añadidura	addition
cuenta	addition
factura	addition
suma	addition
suplemento	addition
adicional	additionnel
añadido	additionnel
acompañar	additionner
adicionar	additionner
adjuntar	additionner
agregar	additionner
añadir	additionner
incluir	additionner
sumar	additionner
aducción	adduction
toma	adduction
adepto	adepte
adepta	adepte
adepto	adepte
afición	adepte
devota	adepte
devoto	adepte
partidario	adepte
seguidor	adepte
seguidora	adepte
adherencia	adhérence
agarre	adhérence
adherente	adhérent
afiliado	adhérent
asociado	adhérent
miembro	adhérent
socio	adhérent
afiliada	adhérente
miembro	adhérente
socio	adhérente
adherirse	adhérer
adscribir	adhérer
afiliarse	adhérer
agregarse	adhérer
asociarse	adhérer
encuadrarse	adhérer
hacerse miembro	adhérer
hacerse socio	adhérer
incorporarse	adhérer
ingresar	adhérer
pegar	adhérer
pegarse	adhérer
adherente	adhésif
adhesivo	adhésif
adhesivo	adhésif
gluten	adhésif
pegamento	adhésif
adhesión	adhésion
afiliación	adhésion
calidad de miembro	adhésion
calidad de socio	adhésion
entrada	adhésion
adiós	adieu
vaya con Dios	adieu
adiós	adieu
despedida	adieu
adiposo	adipeux
atocinado	adipeux
gordo	adipeux
grueso	adipeux
adyacente	adjacent
cercano	adjacent
inmediato	adjacent
vecino	adjacent
adjetivo	adjectif
adjetivo	adjectif
nombre adjetivo	adjectif
numeral	adjectif numéral
adjetivo	adjectif qualificatif
nombre adjetivo	adjectif qualificatif
adjetivo	adjectival
adjetivar	adjectiver
agregar	adjoindre
añadir	adjoindre
incorporar	adjoindre
adjunto	adjoint
anexo	adjoint
adjunto	adjoint
asistente	adjoint
auxiliar	adjoint
ayudante	adjoint
colaborador	adjoint
suplente	adjoint
teniente de alcalde	adjoint au maire
adjunta	adjointe
suplente	adjointe
adición	adjonction
aditamento	adjonction
aditivo	adjonction
adjunción	adjonction
agregación	adjonction
añadidura	adjonction
ayudante	adjudant
adjudicataria	adjudicataire
adjudicatario	adjudicataire
adjudicación	adjudication
concurso	adjudication
remate	adjudication
adjudicar	adjuger
asignar	adjuger
conceder	adjuger
conferir	adjuger
otorgar	adjuger
rematar	adjuger
ruego	adjuration
suplicación	adjuration
súplica	adjuration
implorar	adjurer
rogar	adjurer
suplicar	adjurer
coadyuvante	adjuvant
adjudicar	admettre
admitir	admettre
asentir	admettre
asignar	admettre
autorizar	admettre
conceder	admettre
otorgar	admettre
permitir	admettre
reconocer	admettre
superar	admettre
suponer	admettre
tolerar	admettre
convenir	admettre que
administrador	administrateur
administrador	administrateur
directivo	administrateur
dirigente	administrateur
gerente	administrateur
gobernador	administrateur
administrativo	administratif
oficial	administratif
Administración	administration
Administración pública	administration
administración	administration
autoridades	administration
gestión	administration
gobierno	administration
reinado	administration
medicación	administration de médicaments
administrativamente	administrativement
oficialmente	administrativement
administradora	administratrice
administrar	administrer
dirigir	administrer
gobernar	administrer
propinar	administrer
administrar justicia	administrer la justice
hacer justicia	administrer la justice
admirable	admirable
maravilloso	admirable
admirablemente	admirablement
adicto	admirateur
admirador	admirateur
adorador	admirateur
aficionado	admirateur
devoto	admirateur
incondicional	admirateur
admirativo	admiratif
de admiración	admiratif
admiración	admiration
golpe	admiration
adicta	admiratrice
admiradora	admiratrice
adoradora	admiratrice
aficionada	admiratrice
devota	admiratrice
incondicional	admiratrice
admirar	admirer
admitido	admis
aprobado	admis
aceptable	admissible
admisible	admissible
admitido a la última parte de un examen	admissible
admisión	admission
ingreso	admission
reconocimiento	admission
admonición	admonestation
advertencia	admonestation
amonestación	admonestation
apóstrofe	admonestation
reprensión	admonestation
amonestar	admonester
echar un rapapolvo	admonester
reprender	admonester
adolescente	ado
adolescencia	adolescence
adolescente	adolescent
adolescente	adolescent
púber	adolescent
quinceañero	adolescent de quinze ans
adolescente	adolescente
quinceañera	adolescente de quinze ans
adonis	adonis
adoptar	adopter
adoptar por hijo a	adopter
ahijar	adopter
aprobar	adopter
prohijar	adopter
adoptar a un niño	adopter un enfant
adoptar una actitud	adopter une attitude
tomar una actitud	adopter une attitude
adoptivo	adoptif
adopción	adoption
aprobación	adoption
adorable	adorable
precioso	adorable
rico	adorable
de adoración	adorateur
admirador	adorateur
adorador	adorateur
adoración	adoration
veneración	adoration
admiradora	adoratrice
adoradora	adoratrice
adorar	adorer
chiflar	adorer
encantar	adorer
enloquecer	adorer
venerar	adorer
adosar	adosser
armar caballero	adouber
calzar la espuela	adouber
ablandar	adoucir
acallar	adoucir
aliviar	adoucir
amansar	adoucir
aplacar	adoucir
aquietar	adoucir
atenuar	adoucir
azucarar	adoucir
calmar	adoucir
descalcificar	adoucir
dulcificar	adoucir
endulzar	adoucir
matar	adoucir
mitigar	adoucir
paliar	adoucir
pulir	adoucir
quebrar	adoucir
suavizar	adoucir
suavizarse	adoucir
suavizante	adoucissant
suavizante	adoucissant
descalcificación	adoucissement
mejora	adoucissement
amaño	adresse
apañadura	adresse
apaño	adresse
arte	adresse
baquía	adresse
destreza	adresse
dirección	adresse
habilidad	adresse
industria	adresse
ingenio	adresse
limpieza	adresse
maña	adresse
presteza	adresse
puntería	adresse
seña	adresse
señas	adresse
tino	adresse
traza	adresse
técnica	adresse
voz guía	adresse
dedicar	adresser
despachar	adresser
destinar	adresser
dirigir	adresser
dirigir a	adresser
dirigirse	adresser
enderezar	adresser
enviar	adresser
mandar	adresser
dirigir la palabra a	adresser la parole à
amañado	adroit
apañado	adroit
astuto	adroit
diestro	adroit
habilidoso	adroit
hábil	adroit
mañoso	adroit
con habilidad	adroitement
diestramente	adroitement
hábilmente	adroitement
limpiamente	adroitement
mañosamente	adroitement
adrenalina	adrénaline
adular	aduler
adulto	adulte
completamente desarrollado	adulte
maduro	adulte
adulta	adulte
adulto	adulte
adúltero	adultère
adulterio	adultère
adulterio	adultération
adulterino	adultérin
fuera de matrimonio	adultérin
acaecer	advenir
acontecer	advenir
ocurrir	advenir
pasar	advenir
presentarse	advenir
producirse	advenir
sobrevenir	advenir
suceder	advenir
adverbio	adverbe
adversaria	adversaire
adversario	adversaire
contraria	adversaire
contrario	adversaire
contrincante	adversaire
oponente	adversaire
adversativo	adversatif
Voir  partie	adverse
adverso	adverse
antitético	adverse
contrapuesto	adverse
contrario	adverse
inverso	adverse
opuesto	adverse
adversidad	adversité
contrariedad	adversité
desdicha	adversité
infortunio	adversité
mala suerte	adversité
adecuado	adéquat
propicio	adéquat
adecuadamente	adéquatement
adecuación	adéquation
equivalencia	adéquation
afabilidad	affabilité
amabilidad	affabilité
afable	affable
amable	affable
llano	affable
afablemente	affablement
amablement	affablement
fabulación	affabulation
invención	affabulation
invento	affabulation
fantasear	affabuler
alicaído	affaibli
decaído	affaibli
débil	affaibli
debilitar	affaiblir
debilitarse	affaiblir
depauperar	affaiblir
desmadejar	affaiblir
desvirtuar	affaiblir
enervar	affaiblir
refutar	affaiblir
restar	affaiblir
aflojamiento	affaiblissement
debilitación	affaiblissement
debilitamiento	affaiblissement
decaimiento	affaiblissement
depauperación	affaiblissement
desmejora	affaiblissement
desmejoramiento	affaiblissement
deterioro	affaiblissement
empeoramiento	affaiblissement
quebranto	affaiblissement
affaire	affaire
asunto	affaire
bártulos	affaire
caso	affaire
causa	affaire
chiringuito	affaire
cosa	affaire
cuestión	affaire
ganga	affaire
juicio	affaire
litigio	affaire
negocio	affaire
ocupación	affaire
pleito	affaire
proceso	affaire
transacción	affaire
trasto	affaire
actividad	affairement
atarearse	affairer
mercantilismo	affairisme
atareado	affairé
muy atareado	affairé
muy ocupado	affairé
derrumbamiento	affaissement
hundimiento	affaissement
vencimiento	affaissement
desplomarse	affaisser
hundirse	affaisser
dejar caer	affaler
ansioso	affamé
deseoso	affamé
famélico	affamé
hambriento	affamé
muerto de hambre	affamé
afectación	affectation
amaneramiento	affectation
artificialidad	affectation
asignación	affectation
destino	affectation
hinchazón	affectation
adscribir	affecter
afectar	affecter
afectar mucho	affecter
asignar	affecter
destinar	affecter
fingir	affecter
mover profundamente	affecter
situar	affecter
destinar a	affecter à
destinar para	affecter à
afectivo	affectif
afección	affection
afecto	affection
apego	affection
cariño	affection
querer	affection
adorar	affectionner
amar	affectionner
bienquerer	affectionner
encantar a u.p.	affectionner
gustar a u.p.	affectionner
querer	affectionner
ser aficionada	affectionner
ser aficionado	affectionner
afectividad	affectivité
afectuosa	affectueuse
afectuosamente	affectueusement
amorosamente	affectueusement
cariñosamente	affectueusement
con cariño	affectueusement
cordialmente	affectueusement
de todo corazón	affectueusement
efusivamente	affectueusement
entrañablemente	affectueusement
afectuoso	affectueux
amoroso	affectueux
cariñoso	affectueux
cordial	affectueux
cálido	affectueux
efusivo	affectueux
entrañable	affectueux
expresivo	affectueux
mimoso	affectueux
adscrito	affecté
afectado	affecté
artificial	affecté
artificioso	affecté
relamido	affecté
arrendamiento	affermage
arriendo	affermage
arrendar	affermer
dar en arriendo	affermer
afianzar	affermir
afirmar	affermir
consolidar	affermir
fortalecer	affermir
fortificar	affermir
reforzar	affermir
consolidación	affermissement
colocación de carteles	affichage
fijación	affichage
visualización	affichage
afiche	affiche
anuncio	affiche
cartel	affiche
anunciar	afficher
fijar	afficher
hacer alarde	afficher
hacer alarde de	afficher
ostentar	afficher
visualizar	afficher
afiche	affichette
cartel	affichette
cartelito	affichette
empresa	afficheur
pantalla	afficheur
compinche	affidé
cómplice	affidé
compinche	affidée
cómplice	affidée
afilar	affiler
aguzar	affiler
adhesión	affiliation
calidad de miembro	affiliation
calidad de socio	affiliation
ingreso	affiliation
afiliado	affilié
afiliada	affilié
afiliado	affilié
asociado	affilié
miembro	affilié
socio	affilié
afiladera	affiloir
amoladera	affiloir
asperón	affiloir
muela	affiloir
piedra afiladora	affiloir
piedra amoladera	affiloir
piedra de afilar	affiloir
afilado	affilé
afín	affin
allegado	affin
pariente	affin
relacionado	affin
afinación	affinement
afinamiento	affinement
refinamiento	affinement
afinar	affiner
aguzar	affiner
perfilar	affiner
refinar	affiner
afinidad	affinité
sí	affirmatif
afirmativo	affirmatif
asertivo	affirmatif
asertorio	affirmatif
aseverativo	affirmatif
categórico	affirmatif
afirmación	affirmation
alegación	affirmation
aserción	affirmation
aserto	affirmation
aseveración	affirmation
declaración	affirmation
manifestación	affirmation
afirmación	affirmative
afirmativamente	affirmativement
asertivamente	affirmativement
en sentido afirmativo	affirmativement
afirmar	affirmer
aseverar	affirmer
afijo	affixe
aflorar	affleurer
allanar	affleurer
aparecer	affleurer
asomar	affleurer
igualar	affleurer
nivelar	affleurer
rozar	affleurer
salir	affleurer
surgir	affleurer
aflicción	affliction
afligimiento	affliction
pena	affliction
tristeza	affliction
afligente	affligeant
deplorable	affligeant
lamentable	affligeant
lastimoso	affligeant
miserable	affligeant
penoso	affligeant
acuitar	affliger
afligir	affliger
afligirse	affliger
angustiar	affliger
apenar	affliger
aquejar	affliger
dar pena a	affliger
desconsolar	affliger
entristecer	affliger
abatido	affligé
acongojado	affligé
afligido	affligé
angustiado	affligé
angustioso	affligé
apenado	affligé
aquejado	affligé
dolorido	affligé
triste	affligé
afluencia	affluence
concurrencia	affluence
concurso	affluence
afluente	affluent
acudir en masa	affluer
afluir	affluer
aglomerarse	affluer
confluir	affluer
afluencia	afflux
aflujo	afflux
alarmante	affolant
desesperación	affolement
pánico	affolement
alarmar	affoler
perder la cabeza	affoler
turbar	affoler
preso del pánico	affolé
abrasión	affouillement
erosión	affouillement
exento	affranchi
franqueado	affranchi
liberto	affranchi
libre	affranchi
desencarcelar	affranchir
emancipar	affranchir
excarcelar	affranchir
